block	trialType	trial	signal	response	correct	ssd	rt
0	testBlocks	37	0	1	2	NA	0.828765792000922
0	testBlocks	38	0	1	2	NA	0.827188249997562
0	testBlocks	39	0	1	2	NA	0.849650583000766
0	testBlocks	40	0	1	2	NA	0.82662345800054
0	testBlocks	41	0	1	2	NA	0.827681792001385
0	testBlocks	42	0	1	2	NA	0.828859458000807
0	testBlocks	43	0	1	2	NA	0.814454374998604
0	testBlocks	44	0	1	2	NA	0.815119708000566
0	testBlocks	45	0	1	2	NA	0.782065208000859
0	testBlocks	46	0	1	2	NA	0.814109374998225
0	testBlocks	47	0	1	2	NA	0.76081758300279
0	testBlocks	48	0	1	2	NA	0.814105000001291
0	testBlocks	49	0	1	2	NA	0.781589666999935
0	testBlocks	50	1	1	0	0.55	0.828034999998636
0	testBlocks	51	1	1	0	0.525	0.785552458000893
0	testBlocks	52	0	1	2	NA	0.826157707997481
0	testBlocks	53	1	0	2	0.5	NA
0	testBlocks	54	0	1	2	NA	0.816944250000233
0	testBlocks	55	0	1	2	NA	0.791082291998464
0	testBlocks	56	0	1	2	NA	0.827798083002563
0	testBlocks	57	0	1	2	NA	0.826868166997883
0	testBlocks	58	0	1	2	NA	0.861589000000095
0	testBlocks	59	0	1	2	NA	0.793873916001758
0	testBlocks	60	1	1	0	0.525	0.760176957999647
0	testBlocks	61	0	1	2	NA	0.761187250001967
0	testBlocks	62	0	1	2	NA	0.804479833001096
0	testBlocks	63	0	1	2	NA	0.84775166700274
0	testBlocks	64	0	1	2	NA	0.795313333001104
0	testBlocks	65	0	1	2	NA	0.815878082998097
0	testBlocks	66	0	1	2	NA	0.8042400000013
0	testBlocks	67	0	1	2	NA	0.805400583001756
0	testBlocks	68	1	0	2	0.5	NA
0	testBlocks	69	1	0	2	0.525	NA
0	testBlocks	70	0	1	2	NA	0.805231292000826
0	testBlocks	71	0	1	2	NA	0.806845540999348
0	testBlocks	72	0	1	2	NA	0.77165366600093
0	testBlocks	73	0	1	2	NA	0.781507749998127
0	testBlocks	74	0	1	2	NA	0.827954958000191
0	testBlocks	75	0	1	2	NA	0.84811337499923
0	testBlocks	76	0	1	2	NA	0.782568124999671
0	testBlocks	77	0	1	2	NA	0.793184792000829
0	testBlocks	78	0	1	2	NA	0.781683666002209
0	testBlocks	79	0	1	2	NA	0.8048487499982
1	testBlocks	0	0	1	2	NA	0.81966941599967
1	testBlocks	1	0	1	2	NA	0.761076458999014
1	testBlocks	2	1	0	2	0.55	NA
1	testBlocks	3	0	1	2	NA	0.816356625000481
1	testBlocks	4	0	1	2	NA	0.760200250002526
1	testBlocks	5	0	1	2	NA	0.806506375000026
1	testBlocks	6	0	1	2	NA	0.792408125002112
1	testBlocks	7	0	1	2	NA	0.793576874999417
1	testBlocks	8	0	1	2	NA	0.795439249999617
1	testBlocks	9	1	1	0	0.575	0.792717291002191
1	testBlocks	10	1	0	2	0.55	NA
1	testBlocks	11	0	1	2	NA	0.815336125000613
1	testBlocks	12	1	0	2	0.575	NA
1	testBlocks	13	0	1	2	NA	0.838868291000836
1	testBlocks	14	1	1	0	0.6	0.782060375000583
1	testBlocks	15	0	1	2	NA	0.793731334000768
1	testBlocks	16	0	1	2	NA	0.758353917000932
1	testBlocks	17	0	1	2	NA	0.7837025000008
1	testBlocks	18	1	1	0	0.575	0.794000500001857
1	testBlocks	19	0	1	2	NA	0.826414916999056
1	testBlocks	20	0	1	2	NA	0.7819975420025
1	testBlocks	21	1	0	2	0.55	NA
1	testBlocks	22	0	1	2	NA	0.790485417001037
1	testBlocks	23	0	1	2	NA	0.780361875000381
1	testBlocks	24	0	1	2	NA	0.78048654200029
1	testBlocks	25	0	1	2	NA	0.782526125000004
1	testBlocks	26	0	1	2	NA	0.826711416000762
1	testBlocks	27	0	1	2	NA	0.782963082998322
1	testBlocks	28	1	1	0	0.575	0.805116457999247
1	testBlocks	29	0	1	2	NA	0.814131915998587
1	testBlocks	30	1	0	2	0.55	NA
1	testBlocks	31	0	1	2	NA	0.780166665997967
1	testBlocks	32	0	1	2	NA	0.782510832999833
1	testBlocks	33	1	1	0	0.575	0.806210667000414
1	testBlocks	34	0	1	2	NA	0.793867749998753
1	testBlocks	35	0	1	2	NA	0.827692250000837
1	testBlocks	36	0	1	2	NA	0.827471542001149
1	testBlocks	37	0	1	2	NA	0.817337124997721
1	testBlocks	38	0	1	2	NA	0.805680125002254
1	testBlocks	39	0	1	2	NA	0.815543833003176
1	testBlocks	40	0	1	2	NA	0.815641125002003
1	testBlocks	41	0	1	2	NA	0.803490208003495
1	testBlocks	42	0	1	2	NA	0.805885458001285
1	testBlocks	43	1	1	0	0.55	0.826830750000227
1	testBlocks	44	0	1	2	NA	0.861239666999609
1	testBlocks	45	0	1	2	NA	0.794498625000415
1	testBlocks	46	0	1	2	NA	0.80517758300266
1	testBlocks	47	0	1	2	NA	0.783614500000112
1	testBlocks	48	0	1	2	NA	0.773698791999777
1	testBlocks	49	1	0	2	0.525	NA
1	testBlocks	50	0	1	2	NA	0.827920083000208
1	testBlocks	51	1	0	2	0.55	NA
1	testBlocks	52	1	1	0	0.575	0.805972250000195
1	testBlocks	53	0	1	2	NA	0.841032583000924
1	testBlocks	54	1	1	0	0.55	0.793697999997676
1	testBlocks	55	0	1	2	NA	0.839267041999847
1	testBlocks	56	0	1	2	NA	0.828667541998584
1	testBlocks	57	0	1	2	NA	0.7824442500023
1	testBlocks	58	0	1	2	NA	0.816194750001159
1	testBlocks	59	1	0	2	0.525	NA
1	testBlocks	60	0	1	2	NA	0.783735166001861
1	testBlocks	61	0	1	2	NA	0.804883749999135
1	testBlocks	62	0	1	2	NA	0.7714849590011
1	testBlocks	63	0	1	2	NA	0.816564832999575
1	testBlocks	64	1	0	2	0.55	NA
1	testBlocks	65	0	1	2	NA	0.795499874999223
1	testBlocks	66	0	1	2	NA	0.837692084001901
1	testBlocks	67	0	1	2	NA	0.793919457999436
1	testBlocks	68	1	1	0	0.575	0.79250866700022
1	testBlocks	69	1	1	0	0.55	0.771108958000696
1	testBlocks	70	0	1	2	NA	0.827334290999715
1	testBlocks	71	0	1	2	NA	0.794641167001828
1	testBlocks	72	0	1	2	NA	0.784406083999784
1	testBlocks	73	0	1	2	NA	0.7833810000011
1	testBlocks	74	0	1	2	NA	0.794453040998633
1	testBlocks	75	0	1	2	NA	0.839591208998172
1	testBlocks	76	0	1	2	NA	0.827884041002108
1	testBlocks	77	0	1	2	NA	0.8041704999996
1	testBlocks	78	1	0	2	0.525	NA
1	testBlocks	79	0	1	2	NA	0.792022083001939
2	testBlocks	0	0	1	2	NA	0.80533691600067
2	testBlocks	1	0	1	2	NA	0.772945415999857
2	testBlocks	2	0	1	2	NA	0.846010332999867
2	testBlocks	3	0	1	2	NA	0.80591241699949
2	testBlocks	4	0	1	2	NA	0.827177582999866
2	testBlocks	5	0	1	2	NA	0.780594457999541
2	testBlocks	6	0	1	2	NA	0.759670542000094
2	testBlocks	7	0	1	2	NA	0.804401833000156
2	testBlocks	8	1	1	0	0.55	0.816373082998325
2	testBlocks	9	0	1	2	NA	0.792561707999994
2	testBlocks	10	0	1	2	NA	0.759305499999755
2	testBlocks	11	0	1	2	NA	0.770095207997656
2	testBlocks	12	0	1	2	NA	0.829265208001743
2	testBlocks	13	1	0	2	0.525	NA
2	testBlocks	14	0	1	2	NA	0.806219375001092
2	testBlocks	15	1	1	0	0.55	0.793415000000095
2	testBlocks	16	0	1	2	NA	0.827837583001383
2	testBlocks	17	0	1	2	NA	0.839278084000398
2	testBlocks	18	1	0	2	0.525	NA
2	testBlocks	19	1	0	2	0.55	NA
2	testBlocks	20	0	1	2	NA	0.816857541998615
2	testBlocks	21	1	0	2	0.575	NA
2	testBlocks	22	0	1	2	NA	0.817105291000189
2	testBlocks	23	0	1	2	NA	0.806470583000191
2	testBlocks	24	1	1	0	0.6	0.784974250000232
2	testBlocks	25	0	1	2	NA	0.804036458001065
2	testBlocks	26	0	1	2	NA	0.837162791998708
2	testBlocks	27	1	1	0	0.575	0.817406083999231
2	testBlocks	28	0	1	2	NA	0.794445915998949
2	testBlocks	29	1	0	2	0.55	NA
2	testBlocks	30	0	1	2	NA	0.760635374997946
2	testBlocks	31	1	1	0	0.575	0.805627041998378
2	testBlocks	32	0	1	2	NA	0.805382374997862
2	testBlocks	33	0	1	2	NA	0.838561332999234
2	testBlocks	34	0	1	2	NA	0.783956292001676
2	testBlocks	35	0	1	2	NA	0.794672625001112
2	testBlocks	36	0	1	2	NA	0.827998875000048
2	testBlocks	37	0	1	2	NA	0.804804790997878
2	testBlocks	38	1	1	0	0.55	0.747125499998219
2	testBlocks	39	0	1	2	NA	0.803873875000136
2	testBlocks	40	1	0	2	0.525	NA
2	testBlocks	41	1	0	2	0.55	NA
2	testBlocks	42	0	1	2	NA	0.827636707999773
2	testBlocks	43	0	1	2	NA	0.793792542001029
2	testBlocks	44	0	1	2	NA	0.829306999999972
2	testBlocks	45	0	1	2	NA	0.769704250000359
2	testBlocks	46	0	1	2	NA	0.816253250002774
2	testBlocks	47	0	1	2	NA	0.814760166998894
2	testBlocks	48	0	1	2	NA	0.791040332998818
2	testBlocks	49	0	1	2	NA	0.82575849999921
2	testBlocks	50	0	1	2	NA	0.749883665997913
2	testBlocks	51	0	1	2	NA	0.827283583999815
2	testBlocks	52	1	1	0	0.575	0.772018207997462
2	testBlocks	53	0	1	2	NA	0.839625500000693
2	testBlocks	54	0	1	2	NA	0.859520125002746
2	testBlocks	55	1	1	0	0.55	0.816212792000442
2	testBlocks	56	1	0	2	0.525	NA
2	testBlocks	57	1	1	0	0.55	0.802367000000231
2	testBlocks	58	1	0	2	0.525	NA
2	testBlocks	59	0	1	2	NA	0.793265084001177
2	testBlocks	60	0	1	2	NA	0.815326583000569
2	testBlocks	61	0	1	2	NA	0.816653332996793
2	testBlocks	62	0	1	2	NA	0.783295583001745
2	testBlocks	63	0	1	2	NA	0.747552415999962
2	testBlocks	64	0	1	2	NA	0.793702667000616
2	testBlocks	65	0	1	2	NA	0.736248082997918
2	testBlocks	66	0	1	2	NA	0.82793637499708
2	testBlocks	67	1	0	2	0.55	NA
2	testBlocks	68	1	1	0	0.575	0.748657666001236
