"","id_number","number_of_blocks","number_of_go_trials_per_block","number_of_stop_trials_per_block","go_trial_accuracy","omission_error","go_trial_RT_mean","go_trial_RT_sd","accurate_go_trial_RT_mean","accurate_go_trial_RT_sd","inaccurate_go_trial_RT_mean","inaccurate_go_trial_RT_sd","go_trial_RT_mean_omissions_replaced_with_max_duration","go_trial_RT_sd_omissions_replaced_with_max_duration","accurate_go_trial_RT_mean_omissions_replaced_with_max_duration","accurate_go_trial_RT_sd_omissions_replaced_with_max_duration","mu_go","sigma_go","tau_go","mu_accurate_go","sigma_accurate_go","tau_accurate_go","mu_inaccurate_go","sigma_inaccurate_go","tau_inaccurate_go","mu_accurate_go_omissions_replaced_with_max_duration","sigma_accurate_go_omissions_replaced_with_max_duration","tau_accurate_go_omissions_replaced_with_max_duration","stop_trial_accuracy","failed_stop_RT_mean","failed_stop_RT_sd","go_trial_RT_SSRT_mean_method","accurate_go_trial_SSRT_mean_method","go_trial_RT_SSRT_mean_method_omissions_replaced_with_max_duration","accurate_go_trial_SSRT_mean_method_omissions_replaced_with_max_duration","all_go_SSRT_integration_method","accurate_go_SSRT_integration_method","accurate_go_SSRT_omissions_replaced_integration_method","mean_ssd","mean_presp"
"1","JH","4","60","20","100","0",805.49,26.7,805.49,26.7,NA,NA,805.49,26.7,805.49,26.7,797.27,25.4,8.22,797.27,25.4,8.22,NA,NA,NA,797.27,25.4,8.22,52.31,797.77,23.97,255.49,255.49,255.49,255.49,255.53,255.53,255.53,550,0.52
"2","JH","4","60","20","100","0",NA,NA,NA,NA,NA,NA,NA,NA,805.49,26.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,797.27,25.4,8.22,52.31,797.77,23.97,NA,NA,NA,255.49,NA,NA,255.53,550,0.52
